time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count
2022-03-01T00:00:00.0000000Z;2022-03-01T00:05:00.0000000Z;2022-03-01T00:00:00.0670000Z;2022-03-01T00:04:57.5640000Z;43208.000000000;43566.000000000;43195.000000000;43463.000000000;60.488353190;936
2022-03-01T00:05:00.0000000Z;2022-03-01T00:10:00.0000000Z;2022-03-01T00:05:00.4470000Z;2022-03-01T00:09:54.3950000Z;43471.140569210;43493.123816140;43275.000000000;43462.624880070;15.574597580;340
2022-03-01T00:10:00.0000000Z;2022-03-01T00:15:00.0000000Z;2022-03-01T00:10:01.2940000Z;2022-03-01T00:14:49.7800000Z;43463.000000000;43632.000000000;43401.155875440;43401.155875440;13.600589090;300
2022-03-01T00:15:00.0000000Z;2022-03-01T00:20:00.0000000Z;2022-03-01T00:15:00.0920000Z;2022-03-01T00:19:53.6430000Z;43408.000000000;43408.000000000;43219.000000000;43309.000000000;10.490844040;215
2022-03-01T00:20:00.0000000Z;2022-03-01T00:25:00.0000000Z;2022-03-01T00:20:00.4330000Z;2022-03-01T00:24:56.6200000Z;43306.689386890;43369.000000000;43249.000000000;43320.000000000;12.128056340;243
2022-03-01T00:25:00.0000000Z;2022-03-01T00:30:00.0000000Z;2022-03-01T00:25:01.0350000Z;2022-03-01T00:29:54.3480000Z;43317.000000000;43432.000000000;43305.000000000;43411.000000000;5.427367720;125
2022-03-01T00:30:00.0000000Z;2022-03-01T00:35:00.0000000Z;2022-03-01T00:30:01.9060000Z;2022-03-01T00:34:57.1580000Z;43415.000000000;43566.000000000;43350.000000000;43566.000000000;16.395095990;334
2022-03-01T00:35:00.0000000Z;2022-03-01T00:40:00.0000000Z;2022-03-01T00:35:07.6260000Z;2022-03-01T00:39:57.6160000Z;43550.000000000;43571.553365670;43442.000000000;43480.000000000;17.132428410;189
2022-03-01T00:40:00.0000000Z;2022-03-01T00:45:00.0000000Z;2022-03-01T00:40:01.2110000Z;2022-03-01T00:44:57.9930000Z;43480.000000000;43580.000000000;43480.000000000;43580.000000000;3.478325790;196
2022-03-01T00:45:00.0000000Z;2022-03-01T00:50:00.0000000Z;2022-03-01T00:45:03.7840000Z;2022-03-01T00:49:55.1220000Z;43566.000000000;43786.000000000;43390.000000000;43397.631587780;66.977597190;609
2022-03-01T00:50:00.0000000Z;2022-03-01T00:55:00.0000000Z;2022-03-01T00:50:01.2990000Z;2022-03-01T00:54:50.7700000Z;43395.000000000;43541.505472190;43395.000000000;43515.000000000;5.589115010;136
2022-03-01T00:55:00.0000000Z;2022-03-01T01:00:00.0000000Z;2022-03-01T00:55:00.3690000Z;2022-03-01T00:59:43.3480000Z;43515.450916210;43606.046334300;43515.450916210;43604.000000000;12.135879770;192
2022-03-01T01:00:00.0000000Z;2022-03-01T01:05:00.0000000Z;2022-03-01T01:00:00.1010000Z;2022-03-01T01:04:47.7120000Z;43606.000000000;43668.000000000;43513.000000000;43560.909434000;18.250755910;305
2022-03-01T01:05:00.0000000Z;2022-03-01T01:10:00.0000000Z;2022-03-01T01:05:08.4330000Z;2022-03-01T01:09:56.8760000Z;43542.000000000;43569.000000000;43481.000000000;43498.000000000;20.805310610;180
2022-03-01T01:10:00.0000000Z;2022-03-01T01:15:00.0000000Z;2022-03-01T01:10:00.9760000Z;2022-03-01T01:14:58.8280000Z;43497.000000000;43497.000000000;43306.000000000;43311.000000000;15.657076140;315
2022-03-01T01:15:00.0000000Z;2022-03-01T01:20:00.0000000Z;2022-03-01T01:15:03.6770000Z;2022-03-01T01:19:59.9950000Z;43311.000000000;43330.000000000;43259.000000000;43311.390972190;7.473827650;207
2022-03-01T01:20:00.0000000Z;2022-03-01T01:25:00.0000000Z;2022-03-01T01:20:00.0730000Z;2022-03-01T01:24:59.9970000Z;43322.000000000;43402.000000000;43311.000000000;43372.000000000;8.825745300;96
2022-03-01T01:25:00.0000000Z;2022-03-01T01:30:00.0000000Z;2022-03-01T01:25:00.5840000Z;2022-03-01T01:29:59.6810000Z;43371.000000000;43371.000000000;43288.000000000;43307.000000000;4.430397510;166
2022-03-01T01:30:00.0000000Z;2022-03-01T01:35:00.0000000Z;2022-03-01T01:30:05.7710000Z;2022-03-01T01:34:59.7150000Z;43302.730144250;43374.000000000;43299.609912990;43317.484055720;7.952671190;168
2022-03-01T01:35:00.0000000Z;2022-03-01T01:40:00.0000000Z;2022-03-01T01:35:14.2740000Z;2022-03-01T01:39:59.7130000Z;43334.000000000;43382.000000000;43327.000000000;43370.000000000;2.643050450;62
2022-03-01T01:40:00.0000000Z;2022-03-01T01:45:00.0000000Z;2022-03-01T01:40:00.5090000Z;2022-03-01T01:44:57.4530000Z;43370.000000000;43472.000000000;43316.670776270;43434.000000000;23.148264430;278
2022-03-01T01:45:00.0000000Z;2022-03-01T01:50:00.0000000Z;2022-03-01T01:45:04.0130000Z;2022-03-01T01:49:50.6050000Z;43437.000000000;43437.000000000;43384.000000000;43431.167432800;3.407916360;68
2022-03-01T01:50:00.0000000Z;2022-03-01T01:55:00.0000000Z;2022-03-01T01:50:06.1710000Z;2022-03-01T01:54:52.4510000Z;43432.000000000;43446.452379090;43364.000000000;43419.000000000;2.020404110;72
2022-03-01T01:55:00.0000000Z;2022-03-01T02:00:00.0000000Z;2022-03-01T01:55:00.5160000Z;2022-03-01T01:59:54.8670000Z;43418.000000000;43419.000000000;43287.000000000;43287.000000000;4.822252150;101
2022-03-01T02:00:00.0000000Z;2022-03-01T02:05:00.0000000Z;2022-03-01T02:00:00.2050000Z;2022-03-01T02:04:59.0470000Z;43299.000000000;43321.000000000;43217.000000000;43254.459189030;13.528126220;286
