exchange_id,website,name,data_start,data_end,data_quote_start,data_quote_end,data_symbols_count,volume_1hrs_usd,volume_1day_usd,volume_1mth_usd
BITKONAN,https://bitkonan.com/,BitKonan,2017-08-26,2022-03-21,2017-08-29T15:47:11.5174742Z,2022-03-21T05:59:48.0142199Z,2,0,0,8037.86
FYBSE,https://www.fybse.se/,FYB-SE,2013-07-15,2019-08-28,2018-01-24T00:21:52.7701638Z,2019-08-28T13:11:39.4081373Z,1,0,0,0
BTCC,https://www.btcc.com/,BTCC,2017-09-20,2018-06-19,2017-09-21T13:35:08.7798904Z,2018-06-19T12:33:14.6691507Z,1,0,0,0
COINGI,https://coingi.com/,Coingi,2017-09-10,2022-03-21,2018-01-24T00:21:48.4137019Z,2022-03-21T06:14:05.5348347Z,28,0,12072.2,360263.73
NOVA,https://novaexchange.com/,Novaexchange,2016-04-08,2019-10-07,2018-01-24T00:21:54.1944779Z,2019-10-07T14:40:13.5873553Z,3034,0,0,0
1BTCXE,https://1btcxe.com/,1Btcxe,2018-01-23,2019-08-06,2018-01-24T00:42:37.6443449Z,2019-08-06T11:12:15.4810000Z,28,0,0,0
COINSECURE,https://coinsecure.in/,Coinsecure,2018-01-24,2018-04-10,2018-01-24T00:21:45.2925018Z,2018-04-10T05:55:15.8720000Z,1,0,0,0
VBTC,https://vbtc.vn/,VBTC.VN,2014-08-15,2022-03-21,2017-03-14T20:05:02.3943786Z,2022-03-21T05:38:51.6608397Z,5,0,0,0
SURBITCOIN,https://surbitcoin.com/,SurBitcoin,2014-08-15,2022-03-20,2017-03-18T22:53:39.8859603Z,2022-03-20T20:53:40.1359960Z,1,0,0,0
FOXBIT,https://foxbit.com.br/,Foxbit,2014-12-11,2022-03-21,2017-03-18T22:53:42.1600307Z,2022-03-21T03:07:40.3260208Z,1,0,0,0
URDUBIT,https://urdubit.com/,URDUBIT,2014-10-14,2018-09-17,2017-03-18T22:53:43.0074017Z,2018-09-17T10:29:55.2038175Z,1,0,0,0
CHILEBIT,https://chilebit.net/,CHILEBIT,2014-12-12,2021-08-01,2017-03-18T22:53:41.7026460Z,2021-08-01T09:00:00.2233333Z,1,0,0,0
RIGHTBTC,https://www.rightbtc.com/,RIGHTBTC,2019-04-18,2021-08-01,2019-04-18T09:51:49.0932046Z,2021-08-01T09:00:00.2233333Z,72,0,0,0
BITEXBOOK,https://bitexbook.com/,BITEXBOOK,2020-05-05,2022-03-21,2020-05-05T13:38:48.4307510Z,2022-03-21T06:15:28.5020688Z,123,0,0,0
P2PB2B,https://p2pb2b.io/,p2pb2b,2018-10-26,2020-12-10,2019-04-08T15:19:03.3086962Z,2020-12-10T13:54:17.1188891Z,1480,0,0,0
